time,production_name,production_value
01.2009,Solar,6.767
01.2009,Battery Storage (Power),0.001
01.2009,Battery Storage (Capacity),0.001
02.2009,Solar,6.784
02.2009,Battery Storage (Power),0.001
02.2009,Battery Storage (Capacity),0.001
03.2009,Solar,6.839
03.2009,Battery Storage (Power),0.001
03.2009,Battery Storage (Capacity),0.001
04.2009,Solar,6.954
04.2009,Battery Storage (Power),0.001
04.2009,Battery Storage (Capacity),0.001
05.2009,Solar,7.104
05.2009,Battery Storage (Power),0.001
05.2009,Battery Storage (Capacity),0.001
06.2009,Solar,7.31
06.2009,Battery Storage (Power),0.002
06.2009,Battery Storage (Capacity),0.002
07.2009,Solar,7.617
07.2009,Battery Storage (Power),0.002
07.2009,Battery Storage (Capacity),0.002
08.2009,Solar,7.908
08.2009,Battery Storage (Power),0.002
08.2009,Battery Storage (Capacity),0.002
09.2009,Solar,8.235
09.2009,Battery Storage (Power),0.002
09.2009,Battery Storage (Capacity),0.002
10.2009,Solar,8.614
10.2009,Battery Storage (Power),0.002
10.2009,Battery Storage (Capacity),0.002
11.2009,Solar,9.117
11.2009,Battery Storage (Power),0.002
11.2009,Battery Storage (Capacity),0.002
12.2009,Solar,10.566
12.2009,Battery Storage (Power),0.002
12.2009,Battery Storage (Capacity),0.002
01.2010,Solar,10.788
01.2010,Battery Storage (Power),0.002
01.2010,Battery Storage (Capacity),0.002
02.2010,Solar,10.952
02.2010,Battery Storage (Power),0.002
02.2010,Battery Storage (Capacity),0.002
03.2010,Solar,11.283
03.2010,Battery Storage (Power),0.002
03.2010,Battery Storage (Capacity),0.002
04.2010,Solar,11.737
04.2010,Battery Storage (Power),0.002
04.2010,Battery Storage (Capacity),0.002
05.2010,Solar,12.31
05.2010,Battery Storage (Power),0.003
05.2010,Battery Storage (Capacity),0.003
06.2010,Solar,14.419
06.2010,Battery Storage (Power),0.003
06.2010,Battery Storage (Capacity),0.003
07.2010,Solar,15.082
07.2010,Battery Storage (Power),0.003
07.2010,Battery Storage (Capacity),0.003
08.2010,Solar,15.446
08.2010,Battery Storage (Power),0.003
08.2010,Battery Storage (Capacity),0.003
09.2010,Solar,16.1
09.2010,Battery Storage (Power),0.003
09.2010,Battery Storage (Capacity),0.003
10.2010,Solar,16.435
10.2010,Battery Storage (Power),0.004
10.2010,Battery Storage (Capacity),0.003
11.2010,Solar,16.8
11.2010,Battery Storage (Power),0.004
11.2010,Battery Storage (Capacity),0.004
12.2010,Solar,17.944
12.2010,Battery Storage (Power),0.004
12.2010,Battery Storage (Capacity),0.004
01.2011,Solar,18.21
01.2011,Battery Storage (Power),0.004
01.2011,Battery Storage (Capacity),0.004
02.2011,Solar,18.31
02.2011,Battery Storage (Power),0.004
02.2011,Battery Storage (Capacity),0.004
03.2011,Solar,18.457
03.2011,Battery Storage (Power),0.004
03.2011,Battery Storage (Capacity),0.004
04.2011,Solar,18.656
04.2011,Battery Storage (Power),0.004
04.2011,Battery Storage (Capacity),0.004
05.2011,Solar,19.027
05.2011,Battery Storage (Power),0.004
05.2011,Battery Storage (Capacity),0.004
06.2011,Solar,19.657
06.2011,Battery Storage (Power),0.004
06.2011,Battery Storage (Capacity),0.005
07.2011,Solar,20.229
07.2011,Battery Storage (Power),0.005
07.2011,Battery Storage (Capacity),0.005
08.2011,Solar,20.841
08.2011,Battery Storage (Power),0.005
08.2011,Battery Storage (Capacity),0.005
09.2011,Solar,21.301
09.2011,Battery Storage (Power),0.005
09.2011,Battery Storage (Capacity),0.005
10.2011,Solar,21.787
10.2011,Battery Storage (Power),0.005
10.2011,Battery Storage (Capacity),0.006
11.2011,Solar,22.446
11.2011,Battery Storage (Power),0.006
11.2011,Battery Storage (Capacity),0.006
12.2011,Biomass,6.134
12.2011,Solar,25.429
12.2011,Battery Storage (Power),0.006
12.2011,Battery Storage (Capacity),0.006
01.2012,Solar,25.983
01.2012,Battery Storage (Power),0.006
01.2012,Battery Storage (Capacity),0.006
02.2012,Solar,26.213
02.2012,Battery Storage (Power),0.006
02.2012,Battery Storage (Capacity),0.007
03.2012,Solar,27.436
03.2012,Battery Storage (Power),0.006
03.2012,Battery Storage (Capacity),0.007
04.2012,Solar,27.795
04.2012,Battery Storage (Power),0.006
04.2012,Battery Storage (Capacity),0.007
05.2012,Solar,28.049
05.2012,Battery Storage (Power),0.007
05.2012,Battery Storage (Capacity),0.008
06.2012,Solar,29.84
06.2012,Battery Storage (Power),0.007
06.2012,Battery Storage (Capacity),0.008
07.2012,Solar,30.363
07.2012,Battery Storage (Power),0.007
07.2012,Battery Storage (Capacity),0.009
08.2012,Solar,30.691
08.2012,Battery Storage (Power),0.008
08.2012,Battery Storage (Capacity),0.01
09.2012,Solar,31.663
09.2012,Battery Storage (Power),0.009
09.2012,Battery Storage (Capacity),0.011
10.2012,Solar,32.271
10.2012,Battery Storage (Power),0.009
10.2012,Battery Storage (Capacity),0.011
11.2012,Solar,32.704
11.2012,Battery Storage (Power),0.01
11.2012,Battery Storage (Capacity),0.012
12.2012,Biomass,6.335
12.2012,Solar,33.033
12.2012,Battery Storage (Power),0.01
12.2012,Battery Storage (Capacity),0.013
01.2013,Solar,33.686
01.2013,Battery Storage (Power),0.011
01.2013,Battery Storage (Capacity),0.013
02.2013,Solar,33.897
02.2013,Battery Storage (Power),0.011
02.2013,Battery Storage (Capacity),0.014
03.2013,Solar,34.185
03.2013,Battery Storage (Power),0.012
03.2013,Battery Storage (Capacity),0.015
04.2013,Solar,34.552
04.2013,Battery Storage (Power),0.013
04.2013,Battery Storage (Capacity),0.016
05.2013,Solar,34.897
05.2013,Battery Storage (Power),0.014
05.2013,Battery Storage (Capacity),0.018
06.2013,Solar,35.207
06.2013,Battery Storage (Power),0.016
06.2013,Battery Storage (Capacity),0.02
07.2013,Solar,35.519
07.2013,Battery Storage (Power),0.017
07.2013,Battery Storage (Capacity),0.022
08.2013,Solar,35.81
08.2013,Battery Storage (Power),0.019
08.2013,Battery Storage (Capacity),0.025
09.2013,Solar,36.103
09.2013,Battery Storage (Power),0.021
09.2013,Battery Storage (Capacity),0.027
10.2013,Solar,36.326
10.2013,Battery Storage (Power),0.023
10.2013,Battery Storage (Capacity),0.03
11.2013,Solar,36.544
11.2013,Battery Storage (Power),0.024
11.2013,Battery Storage (Capacity),0.032
12.2013,Biomass,6.582
12.2013,Wind offshore,0.508
12.2013,Wind onshore,32.969
12.2013,Solar,36.71
12.2013,Battery Storage (Power),0.025
12.2013,Battery Storage (Capacity),0.033
01.2014,Solar,36.903
01.2014,Battery Storage (Power),0.027
01.2014,Battery Storage (Capacity),0.035
02.2014,Solar,37.013
02.2014,Battery Storage (Power),0.029
02.2014,Battery Storage (Capacity),0.038
03.2014,Solar,37.169
03.2014,Battery Storage (Power),0.031
03.2014,Battery Storage (Capacity),0.041
04.2014,Solar,37.331
04.2014,Battery Storage (Power),0.033
04.2014,Battery Storage (Capacity),0.044
05.2014,Solar,37.535
05.2014,Battery Storage (Power),0.036
05.2014,Battery Storage (Capacity),0.048
06.2014,Solar,37.723
06.2014,Battery Storage (Power),0.039
06.2014,Battery Storage (Capacity),0.053
07.2014,Solar,38.065
07.2014,Battery Storage (Power),0.041
07.2014,Battery Storage (Capacity),0.056
08.2014,Biomass,6.757
08.2014,Wind onshore,35.576
08.2014,Solar,38.205
08.2014,Battery Storage (Power),0.05
08.2014,Battery Storage (Capacity),0.066
09.2014,Biomass,6.758
09.2014,Wind onshore,35.897
09.2014,Solar,38.315
09.2014,Battery Storage (Power),0.054
09.2014,Battery Storage (Capacity),0.071
10.2014,Biomass,6.765
10.2014,Wind onshore,36.278
10.2014,Solar,38.39
10.2014,Battery Storage (Power),0.056
10.2014,Battery Storage (Capacity),0.075
11.2014,Biomass,6.771
11.2014,Wind onshore,36.804
11.2014,Solar,38.496
11.2014,Battery Storage (Power),0.058
11.2014,Battery Storage (Capacity),0.078
12.2014,Biomass,6.799
12.2014,Wind offshore,0.994
12.2014,Wind onshore,37.62
12.2014,Solar,37.9
12.2014,Battery Storage (Power),0.06
12.2014,Battery Storage (Capacity),0.08
01.2015,Biomass,6.814
01.2015,Wind onshore,38.077
01.2015,Solar,38.021
01.2015,Battery Storage (Power),0.063
01.2015,Battery Storage (Capacity),0.085
02.2015,Biomass,6.817
02.2015,Wind onshore,38.268
02.2015,Solar,38.118
02.2015,Battery Storage (Power),0.066
02.2015,Battery Storage (Capacity),0.089
03.2015,Biomass,6.819
03.2015,Wind onshore,38.449
03.2015,Solar,38.216
03.2015,Battery Storage (Power),0.068
03.2015,Battery Storage (Capacity),0.092
04.2015,Biomass,6.82
04.2015,Wind onshore,38.618
04.2015,Solar,38.308
04.2015,Battery Storage (Power),0.071
04.2015,Battery Storage (Capacity),0.096
05.2015,Biomass,6.822
05.2015,Wind onshore,38.75
05.2015,Solar,38.409
05.2015,Battery Storage (Power),0.074
05.2015,Battery Storage (Capacity),0.101
06.2015,Biomass,6.824
06.2015,Wind onshore,38.961
06.2015,Solar,38.504
06.2015,Battery Storage (Power),0.077
06.2015,Battery Storage (Capacity),0.106
07.2015,Biomass,6.825
07.2015,Wind onshore,39.187
07.2015,Solar,38.672
07.2015,Battery Storage (Power),0.085
