timestamp,production_type_name,production_value
2024-10-14 22:00:00,Hydro pumped storage consumption,-567.4
2024-10-14 22:15:00,Hydro pumped storage consumption,-445.8
2024-10-14 22:00:00,Cross border electricity trading,8756.9
2024-10-14 22:15:00,Cross border electricity trading,8801.1
2024-10-14 22:00:00,Hydro Run-of-River,2703.4
2024-10-14 22:15:00,Hydro Run-of-River,2695.6
2024-10-14 22:00:00,Biomass,4769.3
2024-10-14 22:15:00,Biomass,4749.8
2024-10-14 22:00:00,Fossil brown coal / lignite,11770.3
2024-10-14 22:15:00,Fossil brown coal / lignite,11650.0
2024-10-14 22:00:00,Fossil hard coal,5344.6
2024-10-14 22:15:00,Fossil hard coal,5228.6
2024-10-14 22:00:00,Fossil oil,237.3
2024-10-14 22:15:00,Fossil oil,237.3
2024-10-14 22:00:00,Fossil gas,4961.0
2024-10-14 22:15:00,Fossil gas,4592.5
2024-10-14 22:00:00,Geothermal,15.4
2024-10-14 22:15:00,Geothermal,15.4
2024-10-14 22:00:00,Hydro water reservoir,363.4
2024-10-14 22:15:00,Hydro water reservoir,260.9
2024-10-14 22:00:00,Hydro pumped storage,507.4
2024-10-14 22:15:00,Hydro pumped storage,389.5
2024-10-14 22:00:00,Others,183.8
2024-10-14 22:15:00,Others,183.8
2024-10-14 22:00:00,Waste,1206.2
2024-10-14 22:15:00,Waste,1210.6
2024-10-14 22:00:00,Wind offshore,523.5
2024-10-14 22:15:00,Wind offshore,546.1
2024-10-14 22:00:00,Wind onshore,2593.5
2024-10-14 22:15:00,Wind onshore,2636.7
2024-10-14 22:00:00,Solar,0.0
2024-10-14 22:15:00,Solar,0.0
2024-10-14 22:00:00,Load,45868.8
2024-10-14 22:15:00,Load,45220.4
2024-10-14 22:00:00,Residual load,42751.8
2024-10-14 22:15:00,Residual load,42037.7
2024-10-14 22:00:00,Renewable share of generation,32.8
2024-10-14 22:15:00,Renewable share of generation,33.4
2024-10-14 22:00:00,Renewable share of load,25.2
2024-10-14 22:15:00,Renewable share of load,25.4
2024-10-14 22:15:00,Hydro pumped storage consumption,-445.8
2024-10-14 22:30:00,Hydro pumped storage consumption,-218.1
2024-10-14 22:15:00,Cross border electricity trading,8801.1
2024-10-14 22:30:00,Cross border electricity trading,9203.8
2024-10-14 22:15:00,Hydro Run-of-River,2695.6
2024-10-14 22:30:00,Hydro Run-of-River,2696.3
2024-10-14 22:15:00,Biomass,4749.8
2024-10-14 22:30:00,Biomass,4728.4
